term,base_term,type
polyribosomes,polyribosome,entity
cytoplasmic side,cytoplasmic side,entity
electron microscopy,electron microscopy,entity
rna complexes,RNA complex,entity
subunits,subunit,entity
subunit,subunit,entity
messenger rna,messenger RNA,entity
mrna,mRNA,entity
nitrogenous bases,nitrogenous basis,entity
ribosome,ribosome,entity
small subunit,small subunit,entity
small subunits,small subunit,entity
chain,chain,entity
protein chain,protein chain,entity
enzymes,enzyme,entity
enzyme,enzyme,entity
hormones,hormone,entity
pigments,pigment,entity
pigment,pigment,entity
surface receptors,surface receptor,entity
digestive enzymes,digestive enzyme,entity
mitochondrion,mitochondrion,entity
powerhouses,powerhouse,entity
energy,energy,entity
triphosphate,triphosphate,entity
atp,atp,entity
energy-carrying molecule,energy-carry molecule,entity
stored,store,event
storing,store,event
cellular respiration,cellular respiration,event
chemical energy,chemical energy,entity
cellular reactions,cellular reaction,entity
byproduct,byproduct,entity
muscle cells,muscle cell,entity
concentration,concentration,event
lactic acid,lactic acid,entity
double membrane organelles,double membrane organelle,entity
cristae,cristae,entity
mitochondrial matrix,mitochondrial matrix,entity
matrix,matrix,entity
space,space,entity
electron micrograph,electron micrograph,entity
intermembrane space,intermembrane space,entity
atp synthesis,atp synthesis,event
single membranes,single membrane,entity
oxidation reactions,oxidation reaction,entity
peroxide,peroxide,entity
reactions,reaction,entity
liver cells,liver cell,entity
fats,fat,entity
pathogene defense,pathogene defense,entity
stress response,stress response,entity
vesicles,vesicle,entity
vesicle,vesicle,entity
sacs,sac,entity
vesicle membranes,vesicle membrane,entity
fuse,fuse,entity
fuses,fuse,entity
fused,fuse,entity
membrane systems,membrane system,entity
plant vacuoles,plant vacuole,entity
macromolecules,macromolecule,entity
microtubule organizing centers,microtubule organizing center,entity
mtocs,mtoc,entity
mtoc,mtoc,entity
centrioles,centriole,entity
centriole,centriole,entity
triplets,triplet,entity
microtubule triplet,microtubule triplet,entity
microtubule triplets,microtubule triplet,entity
centriole tube,centriole tube,entity
nontubulin proteins,nontubulin protein,entity
dividing cell,divide cell,entity
exact function,exact function,entity
cell division,cell division,event
digestive,digestive,entity
acidic,acidic,entity
plant cell diagram,plant cell diagram,entity
structure external,structure external,entity
fungal,fungal,entity
protistan cells,protistan cell,entity
peptidoglycan,peptidoglycan,entity
major organic molecule,major organic molecule,entity
cellulose,cellulose,entity
glucose units,glucose unit,entity
celery,celery,entity
celery cells,celery cell,entity
